chhattisgarhi,hindi,english,category
मंय,मैं,I,pronoun
हमन,हम,we,pronoun
तंय,तुम,you,pronoun
ओ,वह,he/she,pronoun
ए,यह,this,pronoun
इहाँ,यहाँ,here,location
ओतका,वहाँ,there,location
का,क्या,what,question
काबर,क्यों,why,question
कइसे,कैसे,how,question
कइँहा,कहाँ,where,where
कऊन,कौन,who,question
ला,को,to,postposition
म,में,in,postposition
ले,से,from,postposition
बर,के लिए,for,postposition
मन,लोग,plural marker,grammar
अब्बड़,बहुत,very,adverb
थोरिक,थोड़ा,little,adverb
नइ,नहीं,no/not,negation
झन,मत,don't,negation
अऊ,और,and,conjunction
घलो,भी,also,conjunction
ददा,पिता,father,family
दाई,माँ,mother,family
भइया,भाई,brother,family
बहिनी,बहन,sister,family
लइका,बच्चा,child,family
किसान,किसान,farmer,agriculture
धान,धान,rice crop,agriculture
खेत,खेत,field,agriculture
माटी,मिट्टी,soil,nature
नदिया,नदी,river,nature
पहार,पहाड़,hill,nature
जंगल,जंगल,forest,nature
बरसात,बारिश,rain,weather
हवा,हवा,wind,weather
सूरज,सूरज,sun,nature
चंदा,चाँद,moon,nature
मंदिर,मंदिर,temple,tourism
झरना,झरना,waterfall,tourism
मेला,मेला,fair,culture
तीर्थ,तीर्थ,pilgrimage,culture
बढ़िया,अच्छा,good,adjective
नवा,नया,new,adjective
पुराना,पुराना,old,adjective
गरम,गर्म,hot,adjective
ठंडा,ठंडा,cold,adjective
करथे,ता है,does,verb_form
करथें,ते हैं,do plural,verb_form
करही,गा/गी,will,verb_form
करइस,किया,did,verb_form
जाथे,ता है,does,verb_form
जाथें,ते हैं,do plural,verb_form
जाही,गा/गी,will,verb_form
जाइस,किया,did,verb_form
आथे,ता है,does,verb_form
आथें,ते हैं,do plural,verb_form
आही,गा/गी,will,verb_form
आइस,किया,did,verb_form
खाथे,ता है,does,verb_form
खाथें,ते हैं,do plural,verb_form
खाही,गा/गी,will,verb_form
खाइस,किया,did,verb_form
पीथे,ता है,does,verb_form
पीथें,ते हैं,do plural,verb_form
पीही,गा/गी,will,verb_form
पीइस,किया,did,verb_form
देखथे,ता है,does,verb_form
देखथें,ते हैं,do plural,verb_form
देखही,गा/गी,will,verb_form
देखइस,किया,did,verb_form
बोलथे,ता है,does,verb_form
बोलथें,ते हैं,do plural,verb_form
बोलही,गा/गी,will,verb_form
बोलइस,किया,did,verb_form
सुनथे,ता है,does,verb_form
सुनथें,ते हैं,do plural,verb_form
सुनही,गा/गी,will,verb_form
सुनइस,किया,did,verb_form
बैठथे,ता है,does,verb_form
बैठथें,ते हैं,do plural,verb_form
बैठही,गा/गी,will,verb_form
बैठइस,किया,did,verb_form
चलथे,ता है,does,verb_form
चलथें,ते हैं,do plural,verb_form
चलही,गा/गी,will,verb_form
चलइस,किया,did,verb_form
रहथे,ता है,does,verb_form
रहथें,ते हैं,do plural,verb_form
रहही,गा/गी,will,verb_form
रहइस,किया,did,verb_form
हमन_1,उदाहरण शब्द,sample word,synthetic
तंय_2,उदाहरण शब्द,sample word,synthetic
ओ_3,उदाहरण शब्द,sample word,synthetic
ए_4,उदाहरण शब्द,sample word,synthetic
इहाँ_5,उदाहरण शब्द,sample word,synthetic
ओतका_6,उदाहरण शब्द,sample word,synthetic
का_7,उदाहरण शब्द,sample word,synthetic
काबर_8,उदाहरण शब्द,sample word,synthetic
कइसे_9,उदाहरण शब्द,sample word,synthetic
कइँहा_10,उदाहरण शब्द,sample word,synthetic
कऊन_11,उदाहरण शब्द,sample word,synthetic
ला_12,उदाहरण शब्द,sample word,synthetic
म_13,उदाहरण शब्द,sample word,synthetic
ले_14,उदाहरण शब्द,sample word,synthetic
बर_15,उदाहरण शब्द,sample word,synthetic
मन_16,उदाहरण शब्द,sample word,synthetic
अब्बड़_17,उदाहरण शब्द,sample word,synthetic
थोरिक_18,उदाहरण शब्द,sample word,synthetic
नइ_19,उदाहरण शब्द,sample word,synthetic
झन_20,उदाहरण शब्द,sample word,synthetic
अऊ_21,उदाहरण शब्द,sample word,synthetic
घलो_22,उदाहरण शब्द,sample word,synthetic
ददा_23,उदाहरण शब्द,sample word,synthetic
दाई_24,उदाहरण शब्द,sample word,synthetic
भइया_25,उदाहरण शब्द,sample word,synthetic
बहिनी_26,उदाहरण शब्द,sample word,synthetic
लइका_27,उदाहरण शब्द,sample word,synthetic
किसान_28,उदाहरण शब्द,sample word,synthetic
धान_29,उदाहरण शब्द,sample word,synthetic
खेत_30,उदाहरण शब्द,sample word,synthetic
माटी_31,उदाहरण शब्द,sample word,synthetic
नदिया_32,उदाहरण शब्द,sample word,synthetic
पहार_33,उदाहरण शब्द,sample word,synthetic
जंगल_34,उदाहरण शब्द,sample word,synthetic
बरसात_35,उदाहरण शब्द,sample word,synthetic
हवा_36,उदाहरण शब्द,sample word,synthetic
सूरज_37,उदाहरण शब्द,sample word,synthetic
चंदा_38,उदाहरण शब्द,sample word,synthetic
मंदिर_39,उदाहरण शब्द,sample word,synthetic
झरना_40,उदाहरण शब्द,sample word,synthetic
मेला_41,उदाहरण शब्द,sample word,synthetic
तीर्थ_42,उदाहरण शब्द,sample word,synthetic
बढ़िया_43,उदाहरण शब्द,sample word,synthetic
नवा_44,उदाहरण शब्द,sample word,synthetic
पुराना_45,उदाहरण शब्द,sample word,synthetic
गरम_46,उदाहरण शब्द,sample word,synthetic
ठंडा_47,उदाहरण शब्द,sample word,synthetic
मंय_48,उदाहरण शब्द,sample word,synthetic
हमन_49,उदाहरण शब्द,sample word,synthetic
तंय_50,उदाहरण शब्द,sample word,synthetic
ओ_51,उदाहरण शब्द,sample word,synthetic
ए_52,उदाहरण शब्द,sample word,synthetic
इहाँ_53,उदाहरण शब्द,sample word,synthetic
ओतका_54,उदाहरण शब्द,sample word,synthetic
का_55,उदाहरण शब्द,sample word,synthetic
काबर_56,उदाहरण शब्द,sample word,synthetic
कइसे_57,उदाहरण शब्द,sample word,synthetic
कइँहा_58,उदाहरण शब्द,sample word,synthetic
कऊन_59,उदाहरण शब्द,sample word,synthetic
ला_60,उदाहरण शब्द,sample word,synthetic
म_61,उदाहरण शब्द,sample word,synthetic
ले_62,उदाहरण शब्द,sample word,synthetic
बर_63,उदाहरण शब्द,sample word,synthetic
मन_64,उदाहरण शब्द,sample word,synthetic
अब्बड़_65,उदाहरण शब्द,sample word,synthetic
थोरिक_66,उदाहरण शब्द,sample word,synthetic
नइ_67,उदाहरण शब्द,sample word,synthetic
झन_68,उदाहरण शब्द,sample word,synthetic
अऊ_69,उदाहरण शब्द,sample word,synthetic
घलो_70,उदाहरण शब्द,sample word,synthetic
ददा_71,उदाहरण शब्द,sample word,synthetic
दाई_72,उदाहरण शब्द,sample word,synthetic
भइया_73,उदाहरण शब्द,sample word,synthetic
बहिनी_74,उदाहरण शब्द,sample word,synthetic
लइका_75,उदाहरण शब्द,sample word,synthetic
किसान_76,उदाहरण शब्द,sample word,synthetic
धान_77,उदाहरण शब्द,sample word,synthetic
खेत_78,उदाहरण शब्द,sample word,synthetic
माटी_79,उदाहरण शब्द,sample word,synthetic
नदिया_80,उदाहरण शब्द,sample word,synthetic
पहार_81,उदाहरण शब्द,sample word,synthetic
जंगल_82,उदाहरण शब्द,sample word,synthetic
बरसात_83,उदाहरण शब्द,sample word,synthetic
हवा_84,उदाहरण शब्द,sample word,synthetic
सूरज_85,उदाहरण शब्द,sample word,synthetic
चंदा_86,उदाहरण शब्द,sample word,synthetic
मंदिर_87,उदाहरण शब्द,sample word,synthetic
झरना_88,उदाहरण शब्द,sample word,synthetic
मेला_89,उदाहरण शब्द,sample word,synthetic
तीर्थ_90,उदाहरण शब्द,sample word,synthetic
बढ़िया_91,उदाहरण शब्द,sample word,synthetic
नवा_92,उदाहरण शब्द,sample word,synthetic
पुराना_93,उदाहरण शब्द,sample word,synthetic
गरम_94,उदाहरण शब्द,sample word,synthetic
ठंडा_95,उदाहरण शब्द,sample word,synthetic
मंय_96,उदाहरण शब्द,sample word,synthetic
हमन_97,उदाहरण शब्द,sample word,synthetic
तंय_98,उदाहरण शब्द,sample word,synthetic
ओ_99,उदाहरण शब्द,sample word,synthetic
ए_100,उदाहरण शब्द,sample word,synthetic
इहाँ_101,उदाहरण शब्द,sample word,synthetic
ओतका_102,उदाहरण शब्द,sample word,synthetic
का_103,उदाहरण शब्द,sample word,synthetic
काबर_104,उदाहरण शब्द,sample word,synthetic
कइसे_105,उदाहरण शब्द,sample word,synthetic
कइँहा_106,उदाहरण शब्द,sample word,synthetic
कऊन_107,उदाहरण शब्द,sample word,synthetic
ला_108,उदाहरण शब्द,sample word,synthetic
म_109,उदाहरण शब्द,sample word,synthetic
ले_110,उदाहरण शब्द,sample word,synthetic
बर_111,उदाहरण शब्द,sample word,synthetic
मन_112,उदाहरण शब्द,sample word,synthetic
अब्बड़_113,उदाहरण शब्द,sample word,synthetic
थोरिक_114,उदाहरण शब्द,sample word,synthetic
नइ_115,उदाहरण शब्द,sample word,synthetic
झन_116,उदाहरण शब्द,sample word,synthetic
अऊ_117,उदाहरण शब्द,sample word,synthetic
घलो_118,उदाहरण शब्द,sample word,synthetic
ददा_119,उदाहरण शब्द,sample word,synthetic
दाई_120,उदाहरण शब्द,sample word,synthetic
भइया_121,उदाहरण शब्द,sample word,synthetic
बहिनी_122,उदाहरण शब्द,sample word,synthetic
लइका_123,उदाहरण शब्द,sample word,synthetic
किसान_124,उदाहरण शब्द,sample word,synthetic
धान_125,उदाहरण शब्द,sample word,synthetic
खेत_126,उदाहरण शब्द,sample word,synthetic
माटी_127,उदाहरण शब्द,sample word,synthetic
नदिया_128,उदाहरण शब्द,sample word,synthetic
पहार_129,उदाहरण शब्द,sample word,synthetic
जंगल_130,उदाहरण शब्द,sample word,synthetic
बरसात_131,उदाहरण शब्द,sample word,synthetic
हवा_132,उदाहरण शब्द,sample word,synthetic
सूरज_133,उदाहरण शब्द,sample word,synthetic
चंदा_134,उदाहरण शब्द,sample word,synthetic
मंदिर_135,उदाहरण शब्द,sample word,synthetic
झरना_136,उदाहरण शब्द,sample word,synthetic
मेला_137,उदाहरण शब्द,sample word,synthetic
तीर्थ_138,उदाहरण शब्द,sample word,synthetic
